trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
5_24_case10_10,logic,logic/5_24_case10_10.txt,5,C,"[[12, 12], [14, 5], [23, 9], [17, 3], [8, 18]]","[275, 109, 214, 64, 415]","[[7, 12], [9, 5], [18, 9], [17, 8], [8, 23]]","[270, 104, 209, 184, 535]","[[2, 12], [4, 5], [13, 9], [17, 13], [8, 24]]","[265, 99, 204, 304, 559]","[[3, 12], [5, 5], [14, 9], [17, 12], [8, 24]]","[266, 100, 205, 280, 559]"
5_24_case1_1,logic,logic/5_24_case1_1.txt,5,D,"[[12, 12], [9, 6], [11, 3], [9, 10], [21, 1]]","[275, 128, 58, 224, 20]","[[12, 17], [9, 11], [6, 3], [4, 10], [16, 1]]","[395, 248, 53, 219, 15]","[[12, 21], [9, 15], [2, 3], [1, 10], [12, 1]]","[491, 344, 49, 216, 11]","[[12, 22], [9, 16], [1, 3], [1, 10], [11, 1]]","[515, 368, 48, 216, 10]"
5_24_case2_2,logic,logic/5_24_case2_2.txt,5,B,"[[12, 12], [11, 18], [11, 15], [5, 7], [17, 11]]","[275, 418, 346, 148, 256]","[[12, 22], [1, 18], [11, 24], [1, 7], [7, 11]]","[515, 408, 562, 144, 246]","[[12, 17], [6, 18], [11, 20], [1, 7], [12, 11]]","[395, 413, 466, 144, 251]","[[12, 21], [2, 18], [11, 24], [1, 7], [8, 11]]","[491, 409, 562, 144, 247]"
5_24_case3_3,logic,logic/5_24_case3_3.txt,5,C,"[[12, 12], [16, 17], [19, 20], [5, 19], [17, 5]]","[275, 399, 474, 436, 112]","[[12, 17], [11, 17], [14, 20], [5, 24], [12, 5]]","[395, 394, 469, 556, 107]","[[12, 22], [6, 17], [9, 20], [5, 24], [7, 5]]","[515, 389, 464, 556, 102]","[[12, 21], [7, 17], [10, 20], [5, 24], [8, 5]]","[491, 390, 465, 556, 103]"
5_24_case4_4,logic,logic/5_24_case4_4.txt,5,B,"[[12, 12], [2, 6], [11, 4], [20, 21], [19, 19]]","[275, 121, 82, 499, 450]","[[12, 22], [1, 6], [1, 4], [10, 21], [19, 24]]","[515, 120, 72, 489, 570]","[[12, 17], [1, 6], [6, 4], [15, 21], [19, 24]]","[395, 120, 77, 494, 570]","[[12, 21], [1, 6], [2, 4], [11, 21], [19, 24]]","[491, 120, 73, 490, 570]"
5_24_case5_5,logic,logic/5_24_case5_5.txt,5,C,"[[12, 12], [18, 7], [6, 12], [10, 20], [14, 12]]","[275, 161, 269, 465, 277]","[[7, 12], [18, 12], [6, 17], [5, 20], [9, 12]]","[270, 281, 389, 460, 272]","[[2, 12], [18, 17], [6, 22], [1, 20], [4, 12]]","[265, 401, 509, 456, 267]","[[3, 12], [18, 16], [6, 21], [1, 20], [5, 12]]","[266, 377, 485, 456, 268]"
5_24_case6_6,logic,logic/5_24_case6_6.txt,5,B,"[[12, 12], [11, 14], [4, 22], [5, 23], [11, 12]]","[275, 322, 507, 532, 274]","[[2, 12], [11, 24], [1, 22], [5, 24], [1, 12]]","[265, 562, 504, 556, 264]","[[7, 12], [11, 19], [1, 22], [5, 24], [6, 12]]","[270, 442, 504, 556, 269]","[[3, 12], [11, 23], [1, 22], [5, 24], [2, 12]]","[266, 538, 504, 556, 265]"
5_24_case7_7,logic,logic/5_24_case7_7.txt,5,A,"[[2, 12], [2, 24], [1, 19], [8, 18], [9, 21]]","[265, 553, 432, 415, 488]","[[12, 12], [2, 22], [8, 19], [18, 18], [9, 11]]","[275, 505, 439, 425, 248]","[[7, 12], [2, 24], [3, 19], [13, 18], [9, 16]]","[270, 553, 434, 420, 368]","[[3, 12], [2, 24], [1, 19], [9, 18], [9, 20]]","[266, 553, 432, 416, 464]"
5_24_case8_8,logic,logic/5_24_case8_8.txt,5,B,"[[12, 12], [3, 13], [2, 9], [21, 3], [9, 13]]","[275, 290, 193, 68, 296]","[[2, 12], [1, 13], [2, 19], [21, 13], [1, 13]]","[265, 288, 433, 308, 288]","[[7, 12], [1, 13], [2, 14], [21, 8], [4, 13]]","[270, 288, 313, 188, 291]","[[3, 12], [1, 13], [2, 18], [21, 12], [1, 13]]","[266, 288, 409, 284, 288]"
5_24_case9_9,logic,logic/5_24_case9_9.txt,5,C,"[[12, 12], [23, 7], [8, 2], [15, 14], [19, 20]]","[275, 166, 31, 326, 474]","[[7, 12], [18, 7], [8, 7], [10, 14], [19, 24]]","[270, 161, 151, 321, 570]","[[2, 12], [13, 7], [8, 12], [5, 14], [19, 24]]","[265, 156, 271, 316, 570]","[[3, 12], [14, 7], [8, 11], [6, 14], [19, 24]]","[266, 157, 247, 317, 570]"
